Ref_Date,GEO,MAJORTRADES,SEX,Vector,Coordinate,Value
1991,Canada,Total major trade groups,Both sexes,v21691204,1.1.1,192945
1992,Canada,Total major trade groups,Both sexes,v21691204,1.1.1,180965
1993,Canada,Total major trade groups,Both sexes,v21691204,1.1.1,168985
1994,Canada,Total major trade groups,Both sexes,v21691204,1.1.1,163750
1995,Canada,Total major trade groups,Both sexes,v21691204,1.1.1,163370
1996,Canada,Total major trade groups,Both sexes,v21691204,1.1.1,165325
1997,Canada,Total major trade groups,Both sexes,v21691204,1.1.1,171180
1998,Canada,Total major trade groups,Both sexes,v21691204,1.1.1,175960
1999,Canada,Total major trade groups,Both sexes,v21691204,1.1.1,186385
2000,Canada,Total major trade groups,Both sexes,v21691204,1.1.1,199075
2001,Canada,Total major trade groups,Both sexes,v21691204,1.1.1,215245
2002,Canada,Total major trade groups,Both sexes,v21691204,1.1.1,231415
2003,Canada,Total major trade groups,Both sexes,v21691204,1.1.1,250795
2004,Canada,Total major trade groups,Both sexes,v21691204,1.1.1,267775
2005,Canada,Total major trade groups,Both sexes,v21691204,1.1.1,293835
2006,Canada,Total major trade groups,Both sexes,v21691204,1.1.1,328165
2007,Canada,Total major trade groups,Both sexes,v21691204,1.1.1,358555
1991,Canada,Total major trade groups,Males,v21691205,1.1.2,184705
1992,Canada,Total major trade groups,Males,v21691205,1.1.2,172740
1993,Canada,Total major trade groups,Males,v21691205,1.1.2,160020
1994,Canada,Total major trade groups,Males,v21691205,1.1.2,153275
1995,Canada,Total major trade groups,Males,v21691205,1.1.2,151945
1996,Canada,Total major trade groups,Males,v21691205,1.1.2,152840
1997,Canada,Total major trade groups,Males,v21691205,1.1.2,157875
1998,Canada,Total major trade groups,Males,v21691205,1.1.2,161595
1999,Canada,Total major trade groups,Males,v21691205,1.1.2,170710
2000,Canada,Total major trade groups,Males,v21691205,1.1.2,181610
2001,Canada,Total major trade groups,Males,v21691205,1.1.2,195220
2002,Canada,Total major trade groups,Males,v21691205,1.1.2,209650
2003,Canada,Total major trade groups,Males,v21691205,1.1.2,226515
2004,Canada,Total major trade groups,Males,v21691205,1.1.2,241995
2005,Canada,Total major trade groups,Males,v21691205,1.1.2,265080
2006,Canada,Total major trade groups,Males,v21691205,1.1.2,295205
2007,Canada,Total major trade groups,Males,v21691205,1.1.2,320485
1991,Canada,Total major trade groups,Females,v21691206,1.1.3,8245
1992,Canada,Total major trade groups,Females,v21691206,1.1.3,8225
1993,Canada,Total major trade groups,Females,v21691206,1.1.3,8965
1994,Canada,Total major trade groups,Females,v21691206,1.1.3,10480
1995,Canada,Total major trade groups,Females,v21691206,1.1.3,11425
1996,Canada,Total major trade groups,Females,v21691206,1.1.3,12480
1997,Canada,Total major trade groups,Females,v21691206,1.1.3,13305
1998,Canada,Total major trade groups,Females,v21691206,1.1.3,14365
1999,Canada,Total major trade groups,Females,v21691206,1.1.3,15675
2000,Canada,Total major trade groups,Females,v21691206,1.1.3,17465
2001,Canada,Total major trade groups,Females,v21691206,1.1.3,20030
2002,Canada,Total major trade groups,Females,v21691206,1.1.3,21760
2003,Canada,Total major trade groups,Females,v21691206,1.1.3,24280
2004,Canada,Total major trade groups,Females,v21691206,1.1.3,25775
2005,Canada,Total major trade groups,Females,v21691206,1.1.3,28755
2006,Canada,Total major trade groups,Females,v21691206,1.1.3,32960
2007,Canada,Total major trade groups,Females,v21691206,1.1.3,38070
1991,Canada,Building construction trades,Both sexes,v21691207,1.2.1,46925
1992,Canada,Building construction trades,Both sexes,v21691207,1.2.1,43705
1993,Canada,Building construction trades,Both sexes,v21691207,1.2.1,40995
1994,Canada,Building construction trades,Both sexes,v21691207,1.2.1,36680
1995,Canada,Building construction trades,Both sexes,v21691207,1.2.1,34785
1996,Canada,Building construction trades,Both sexes,v21691207,1.2.1,33395
1997,Canada,Building construction trades,Both sexes,v21691207,1.2.1,32955
1998,Canada,Building construction trades,Both sexes,v21691207,1.2.1,33395
1999,Canada,Building construction trades,Both sexes,v21691207,1.2.1,36495
2000,Canada,Building construction trades,Both sexes,v21691207,1.2.1,39090
2001,Canada,Building construction trades,Both sexes,v21691207,1.2.1,42110
2002,Canada,Building construction trades,Both sexes,v21691207,1.2.1,47545
2003,Canada,Building construction trades,Both sexes,v21691207,1.2.1,53835
2004,Canada,Building construction trades,Both sexes,v21691207,1.2.1,60610
2005,Canada,Building construction trades,Both sexes,v21691207,1.2.1,68740
2006,Canada,Building construction trades,Both sexes,v21691207,1.2.1,75575
2007,Canada,Building construction trades,Both sexes,v21691207,1.2.1,80205
1991,Canada,Building construction trades,Males,v21691208,1.2.2,46260
1992,Canada,Building construction trades,Males,v21691208,1.2.2,42935
1993,Canada,Building construction trades,Males,v21691208,1.2.2,40180
1994,Canada,Building construction trades,Males,v21691208,1.2.2,35785
