Ref_Date,GEO,PRODUCT,DISAPPEARANCE,Vector,Coordinate,Value
1920,Canada,Total dairy products,Total domestic disappearance (kilolitres),v72554,1.1.1,3661870
1921,Canada,Total dairy products,Total domestic disappearance (kilolitres),v72554,1.1.1,4081467
1922,Canada,Total dairy products,Total domestic disappearance (kilolitres),v72554,1.1.1,4204632
1923,Canada,Total dairy products,Total domestic disappearance (kilolitres),v72554,1.1.1,4502264
1924,Canada,Total dairy products,Total domestic disappearance (kilolitres),v72554,1.1.1,4536668
1925,Canada,Total dairy products,Total domestic disappearance (kilolitres),v72554,1.1.1,4689342
1926,Canada,Total dairy products,Total domestic disappearance (kilolitres),v72554,1.1.1,4876610
1927,Canada,Total dairy products,Total domestic disappearance (kilolitres),v72554,1.1.1,4830193
1928,Canada,Total dairy products,Total domestic disappearance (kilolitres),v72554,1.1.1,4929763
1929,Canada,Total dairy products,Total domestic disappearance (kilolitres),v72554,1.1.1,5036178
1930,Canada,Total dairy products,Total domestic disappearance (kilolitres),v72554,1.1.1,5283535
1931,Canada,Total dairy products,Total domestic disappearance (kilolitres),v72554,1.1.1,5455406
1932,Canada,Total dairy products,Total domestic disappearance (kilolitres),v72554,1.1.1,5359326
1933,Canada,Total dairy products,Total domestic disappearance (kilolitres),v72554,1.1.1,5400928
1934,Canada,Total dairy products,Total domestic disappearance (kilolitres),v72554,1.1.1,5600896
1935,Canada,Total dairy products,Total domestic disappearance (kilolitres),v72554,1.1.1,5667479
1936,Canada,Total dairy products,Total domestic disappearance (kilolitres),v72554,1.1.1,5800780
1937,Canada,Total dairy products,Total domestic disappearance (kilolitres),v72554,1.1.1,5862585
1938,Canada,Total dairy products,Total domestic disappearance (kilolitres),v72554,1.1.1,6013788
1939,Canada,Total dairy products,Total domestic disappearance (kilolitres),v72554,1.1.1,6065824
1940,Canada,Total dairy products,Total domestic disappearance (kilolitres),v72554,1.1.1,5881196
1941,Canada,Total dairy products,Total domestic disappearance (kilolitres),v72554,1.1.1,5948703
1942,Canada,Total dairy products,Total domestic disappearance (kilolitres),v72554,1.1.1,6279264
1943,Canada,Total dairy products,Total domestic disappearance (kilolitres),v72554,1.1.1,5992402
1944,Canada,Total dairy products,Total domestic disappearance (kilolitres),v72554,1.1.1,6257364
1945,Canada,Total dairy products,Total domestic disappearance (kilolitres),v72554,1.1.1,6230910
1946,Canada,Total dairy products,Total domestic disappearance (kilolitres),v72554,1.1.1,5954592
1947,Canada,Total dairy products,Total domestic disappearance (kilolitres),v72554,1.1.1,6406667
1948,Canada,Total dairy products,Total domestic disappearance (kilolitres),v72554,1.1.1,6393657
1949,Canada,Total dairy products,Total domestic disappearance (kilolitres),v72554,1.1.1,6016327
1950,Canada,Total dairy products,Total domestic disappearance (kilolitres),v72554,1.1.1,6232492
1951,Canada,Total dairy products,Total domestic disappearance (kilolitres),v72554,1.1.1,6187427
1952,Canada,Total dairy products,Total domestic disappearance (kilolitres),v72554,1.1.1,6314039
1953,Canada,Total dairy products,Total domestic disappearance (kilolitres),v72554,1.1.1,6515034
1954,Canada,Total dairy products,Total domestic disappearance (kilolitres),v72554,1.1.1,6674397
1955,Canada,Total dairy products,Total domestic disappearance (kilolitres),v72554,1.1.1,6924064
1956,Canada,Total dairy products,Total domestic disappearance (kilolitres),v72554,1.1.1,7187915
1957,Canada,Total dairy products,Total domestic disappearance (kilolitres),v72554,1.1.1,7266994
1958,Canada,Total dairy products,Total domestic disappearance (kilolitres),v72554,1.1.1,7178475
1959,Canada,Total dairy products,Total domestic disappearance (kilolitres),v72554,1.1.1,7077043
1960,Canada,Total dairy products,Total domestic disappearance (kilolitres),v72554,1.1.1,6966178
1961,Canada,Total dairy products,Total domestic disappearance (kilolitres),v72554,1.1.1,6889406
1962,Canada,Total dairy products,Total domestic disappearance (kilolitres),v72554,1.1.1,7228624
1963,Canada,Total dairy products,Total domestic disappearance (kilolitres),v72554,1.1.1,7582375
1964,Canada,Total dairy products,Total domestic disappearance (kilolitres),v72554,1.1.1,7688232
1965,Canada,Total dairy products,Total domestic disappearance (kilolitres),v72554,1.1.1,7754470
1966,Canada,Total dairy products,Total domestic disappearance (kilolitres),v72554,1.1.1,7669611
1967,Canada,Total dairy products,Total domestic disappearance (kilolitres),v72554,1.1.1,7631085
1968,Canada,Total dairy products,Total domestic disappearance (kilolitres),v72554,1.1.1,7591766
1969,Canada,Total dairy products,Total domestic disappearance (kilolitres),v72554,1.1.1,7537133
1970,Canada,Total dairy products,Total domestic disappearance (kilolitres),v72554,1.1.1,7689032
1971,Canada,Total dairy products,Total domestic disappearance (kilolitres),v72554,1.1.1,7788434
1972,Canada,Total dairy products,Total domestic disappearance (kilolitres),v72554,1.1.1,7784277
1973,Canada,Total dairy products,Total domestic disappearance (kilolitres),v72554,1.1.1,7713416
1974,Canada,Total dairy products,Total domestic disappearance (kilolitres),v72554,1.1.1,1240
1975,Canada,Total dairy products,Total domestic disappearance (kilolitres),v72554,1.1.1,1264
1976,Canada,Total dairy products,Total domestic disappearance (kilolitres),v72554,1.1.1,1214
1977,Canada,Total dairy products,Total domestic disappearance (kilolitres),v72554,1.1.1,1254
1920,Canada,Total dairy products,Per capita domestic disappearance,v72560,1.1.2,427.99
1921,Canada,Total dairy products,Per capita domestic disappearance,v72560,1.1.2,464.42
1922,Canada,Total dairy products,Per capita domestic disappearance,v72560,1.1.2,471.42
1923,Canada,Total dairy products,Per capita domestic disappearance,v72560,1.1.2,499.69
1924,Canada,Total dairy products,Per capita domestic disappearance,v72560,1.1.2,496.19
1925,Canada,Total dairy products,Per capita domestic disappearance,v72560,1.1.2,504.55
1926,Canada,Total dairy products,Per capita domestic disappearance,v72560,1.1.2,516
1927,Canada,Total dairy products,Per capita domestic disappearance,v72560,1.1.2,501.21
1928,Canada,Total dairy products,Per capita domestic disappearance,v72560,1.1.2,501.25
1929,Canada,Total dairy products,Per capita domestic disappearance,v72560,1.1.2,502.16
1930,Canada,Total dairy products,Per capita domestic disappearance,v72560,1.1.2,517.6
1931,Canada,Total dairy products,Per capita domestic disappearance,v72560,1.1.2,525.77
1932,Canada,Total dairy products,Per capita domestic disappearance,v72560,1.1.2,509.92
1933,Canada,Total dairy products,Per capita domestic disappearance,v72560,1.1.2,507.95
1934,Canada,Total dairy products,Per capita domestic disappearance,v72560,1.1.2,521.46
1935,Canada,Total dairy products,Per capita domestic disappearance,v72560,1.1.2,522.59
1936,Canada,Total dairy products,Per capita domestic disappearance,v72560,1.1.2,529.75
1937,Canada,Total dairy products,Per capita domestic disappearance,v72560,1.1.2,530.79
1938,Canada,Total dairy products,Per capita domestic disappearance,v72560,1.1.2,539.26
1939,Canada,Total dairy products,Per capita domestic disappearance,v72560,1.1.2,538.36
1940,Canada,Total dairy products,Per capita domestic disappearance,v72560,1.1.2,516.75
1941,Canada,Total dairy products,Per capita domestic disappearance,v72560,1.1.2,521.13
1942,Canada,Total dairy products,Per capita domestic disappearance,v72560,1.1.2,548.12
1943,Canada,Total dairy products,Per capita domestic disappearance,v72560,1.1.2,521.39
