SITE_ID,NAME,NOM,STREET,PLAQUE LOCATION,TOWN,PROV,REASON FOR DESIGNATION,RAISION DE LA DESIGNATION,LATITUDE (WGS84),LONGITUDE (WGS84)
202,1 Chipman Hill,1 Chipman Hill,1 Prince William Street / Chipman Hill,<Null>,Saint John,New Brunswick,Fine residence with interior mural painting,Bel ensemble d'habitations décorées de peintures murales intérieures,45.274239,-66.062967
88,223 Robert Street,"223, rue Robert",223 Robert Street,<Null>,Victoria,British Columbia,"Queen Anne Revival style residence, 1905",Résidence de style néo-Queen Anne (1905),48.428941,-123.388467
1874,57-63 St. Louis Street,"57-63, rue Saint-Louis",57-63 Saint-Louis Street,<Null>,Québec,Quebec,Part of an historic significant streetscape,Partie d'un important panorama urbain,46.810932,-71.208362
809,Abbot Pass Refuge Cabin,Refuge du Col-Abbot,<Null>,<Null>,Banff National Park of Canada,Alberta,"Early stone alpine cabin used by climbers, 1922",Vieux chalet-refuge en pierre destiné à accueillir des grimpeurs (1922),51.364269,-116.290626
2014,Abbotsford Sikh Temple,Temple sikh d'Abbotsford,33089 South Fraser Way,<Null>,Abbotsford,British Columbia,Oldest surviving Sikh temple,Plus vieux temple sikh existant toujours,49.05125,-122.30703
454,Aberdeen Pavilion,Pavillon Aberdeen,1015 Bank Street / Lansdowne Park,<Null>,Ottawa,Ontario,"Only large-scale exhibition building in Canada surviving from the 19th century, 1898","Grand bâtiment d'exposition du XIXe siècle, unique tout à fait (1898)",45.400067,-75.682794
320,Acacia Grove / Prescott House,Acacia Grove / maison-Prescott,<Null>,<Null>,Starrs Point,Nova Scotia,Palladian home of horticulturalist C. R. Prescott,"Maison de l'horticulteur C. R. Prescott, exemple du classicisme britannique (palladien)",45.110573,-64.379148
596,Acton Vale Railway Station (Grand Trunk),Gare du Grand Tronc à Acton Vale,960 Boulay Street,<Null>,Acton Vale,Quebec,"Picturesque with dormer, turret and bellcast roof","Exemple d'architecture Pittoresque, avec sa lucarne, sa tourelle et son comble brisé en larmier",45.648295,-72.563977
2064,Addison Sod House,Maison de tourbe Addison,Highway 21,<Null>,Kindersley,Saskatchewan,Remarkably well-preserved and rare surviving example of the sod type of construction,Spécimen remarquablement bien conservé de construction en mottes de gazon et un des rares exemples à être parvenus jusquà nous,51.621475,-109.016205
868,Adelaide Hunter Hoodless Homestead,Homestead d'Adelaide Hunter Hoodless,359 Blue Lake Road,<Null>,St. George,Ontario,Childhood home of activist and organizer Adelaide Hunter Hoodless,Maison d'enfance de l'activiste et organisatrice Adelaide Hunter Hoodless,43.236867,-80.296783
272,Admiralty House,Édifice de l'Amirauté,20 CFB Stadacona (2725 Gottingen St. at CFB Halifax),<Null>,Halifax,Nova Scotia,Exceptional 1819 Palladian style naval residence,Résidence de la Marine; édifice exceptionnel du style palladien construit en 1819,44.659497,-63.59278
1782,Africville,Africville,<Null>,Seaview Memorial Park,Halifax,Nova Scotia,Community representative of Black settlement in Nova Scotia; an enduring symbol to Black Canadians,Une communauté représentative de l'établissement des Noirs en Nouvelle-Écosse; un symbole durable pour les Noirs canadiens,44.675312,-63.616698
2080,Áísínai'pi,Áísínai'pi,49° 05'; -111° 37',<Null>,Writing-on-Stone Provinicial Park,Alberta,One of the most important sites in the sacred geography of the Niitsítapi; largest concentration of rock art images on the Great Plains,Ce paysage occupe une place prédominante dans la géographie sacrée des Niitsítapi; il constitue la plus grande concentration d'images rupestres dans les grandes plaines,49.062985,-111.633028
273,Akins House,Maison Akins,2151 Brunswick Street,<Null>,Halifax,Nova Scotia,"Early vernacular building, circa 1815",Édifice ancien construit vers 1815; architecture vernaculaire,44.653173,-63.581834
578,Alberton Court House,Palais de justice d'Alberton,457 Church St. (east of Howland St.),<Null>,Alberton,Prince Edward Island,"Circuit court house, 1877",Palais de justice pour la cour de circuit (1877),46.812333,-64.06851
2160,Alert Hangar,Hangar d'alerte,<Null>,CFB Bagotville,La Baie,Quebec,Key strategic role in the air defence of Canada and North America during the Cold War,Rôle stratégique de premier plan dans la défense aérienne du Canada et du continent nord-américain pendant la guerre froide,48.334748,-70.971982
261,Alexander Graham Bell,Alexander Graham Bell,<Null>,<Null>,Baddeck,Nova Scotia,Commemorates famous inventor,Évocation du célèbre inventeur,46.10343,-60.74645
514,Algoma Central Engine House,Rotonde de l'Algoma Central,Sherbourne Street,Steelton Yard,Sault Ste. Marie,Ontario,"First in Canada to have internal turntable, 1912","Première rotonde au Canada pourvue d'une plaque tournante interne, 1912",46.524381,-84.352262
341,Algonquin Provincial Park,Parc provincial Algonquin,<Null>,"Outside Visitor Centre, Highway 60",Algonquin Provincial Park,Ontario,"Canada's first provincial park, established in 1893",Premier parc provincial créé au Canada (1893),45.583983,-78.359333
580,All Souls Chapel,Chapelle All Souls,Rochford Square,On wall of small chapel located next to St. Peter's Cathedral,Charlottetown,Prince Edward Island,"Exceptional High Victorian Gothic chapel with murals, 1888",Éminente chapelle de style néo-gothique de l'apogée victorien ornée de peintures murales (1888),46.234047,-63.132793
,Amherstburg First Baptist Church,Église de la First Baptist Church d’Amherstburg,232 George St,,Amherstburg,Ontario,,,42.10273,-83.10559
344,Amherstburg Navy Yard,Chantier naval d'Amherstburg,Dalhousie Street,"Water Works, Navy Yard Park",Amherstburg,Ontario,"British naval yard, 1796-1813; burned and abandoned by British, occupied by Americans until 1815; War of 1812",Emplacement d'un chantier naval britannique (1796-1813); guerre de 1812,42.103451,-83.114016
1856,Ann Baillie Building,Édifice Ann Baillie,George Street,on the grounds of the Kingston General Hospital NHSC,Kingston,Ontario,"Nurses' residences were central to the nursing culture, 1903-04",Les résidences d'infirmières étaient un élément essentiel de la culture infirmière (1903-04),44.223767,-76.49205
1836,Annandale House (Tillsonburg Museum),Maison Annandale (musée Tillsonburg),30 Tillson Avenue,<Null>,Tillsonburg,Ontario,"Decorative interior, Aesthetic Movement in Canada; major impact on domestic architecture in Canada, 1881-83",Intérieur décoratif; mouvement esthétique au Canada - impact majeur sur l'architecture domestique au Canada (1881-83),42.8623,-80.721866
257,Annapolis County Court House,Palais de justice du comté d'Annapolis,377 St. George Street,<Null>,Annapolis Royal,Nova Scotia,Archetypical 1837 Palladian style colonial court house,Archétype du palais de justice colonial de style palladien (1837),44.742014,-65.516122
836,Annapolis Royal Historic District,Arrondissement historique d'Annapolis Royal,Corner of St George St. and St. James St.,<Null>,Annapolis Royal,Nova Scotia,Strategic colonial capital with evolved townsite plan,Capitale coloniale stratégique et lotissement urbain évolué,44.743399,-65.51998
536,Annesley Hall,Annesley Hall,95 Queen's Park Crescent,on post in front of buildling,Toronto,Ontario,"University Building (Women's Residence) in Queen Anne Revival Style, 1902-03","Résidence universitaire pour jeunes femmes de style néo-Queen Anne, 1902-1903",43.667527,-79.392888
