Event Name,Event ID,Order #,Order Date,Quantity,Ticket Type,Order Type,What gender do you identify with?,What's your postal code?,What operating system are you using?,How did you hear about this event?
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,438179101,2015-07-09,1,"Yes, I'd like to mentor!",Free Order,Female,M1P2M8,,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,443003189,2015-07-29,1,"Yes, I'd like to attend!",PayPal Completed,Female,M4E 3K4,Windows,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,443006587,2015-07-29,1,"Yes, I'd like to attend!",PayPal Completed,Female,L6M 0J9,Mac,Twitter | From a Friend
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,443029755,2015-07-29,1,"Yes, I'd like to mentor!",Free Order,Male,m5j2s7,,From a Friend
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,443062876,2015-07-29,1,"Yes, I'd like to mentor!",Free Order,Female,M4L 2R3,,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,443063613,2015-07-29,1,"Yes, I'd like to mentor!",Free Order,Female,M5J 2N3,,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,443063751,2015-07-29,1,"Yes, I'd like to mentor!",Free Order,Male,M4W 3H1,,From a Friend
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,443079813,2015-07-29,1,"Yes, I'd like to attend!",PayPal Completed,Female,m6e2h2,Mac,From a Friend
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,443087587,2015-07-29,1,"Yes, I'd like to mentor!",Free Order,Male,l4k5h2,,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,443125680,2015-07-29,1,"Yes, I'd like to mentor!",Free Order,Male,L0G1N0,,From a Friend
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,443238962,2015-07-30,1,"Yes, I'd like to attend!",PayPal Completed,Female,M4E 2M6,Mac,From a Friend
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,443286161,2015-07-30,1,"Yes, I'd like to attend!",PayPal Completed,Female,13210,Windows,Twitter
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,443321523,2015-07-30,1,"Yes, I'd like to attend!",PayPal Completed,Female,M5A0B1,Mac,Twitter
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,443321930,2015-07-30,1,"Yes, I'd like to attend!",PayPal Completed,Female,M1N 3A3,Windows,Twitter
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,443462235,2015-07-31,1,"Yes, I'd like to mentor!",Free Order,Female,M6G2Y8,,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,444297230,2015-08-04,1,"Yes, I'd like to attend!",PayPal Completed,Female,L3s4e8,Mac,From a Friend
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,444731918,2015-08-05,1,"Yes, I'd like to mentor!",Free Order,Female,M1C 0C8,,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,444951322,2015-08-06,1,Make a Donation!,PayPal Completed,Female,M4V2G9,,Twitter
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,445415296,2015-08-07,1,"Yes, I'd like to attend!",PayPal Completed,Female,L6y 5m2,Mac,Twitter
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,445522331,2015-08-08,1,"Yes, I'd like to mentor!",Free Order,Female,m5n1j4,,From a Friend
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,445897542,2015-08-10,1,"Yes, I'd like to attend!",PayPal Completed,Female,m5p2c6,Mac,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,445902200,2015-08-10,1,"Yes, I'd like to attend!",PayPal Completed,Female,M2N7A2,Windows,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,446946315,2015-08-13,1,"Yes, I'd like to attend!",PayPal Completed,Female,M5S2E8,Mac,Facebook | From a Friend
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,446960177,2015-08-14,1,"Yes, I'd like to attend!",PayPal Completed,Female,M9C4s8,Mac,Facebook
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,447699659,2015-08-17,1,"Yes, I'd like to attend!",PayPal Completed,Female,M6r2z9,Mac,From a Friend
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,447712661,2015-08-17,1,"Yes, I'd like to attend!",PayPal Completed,Female,M6h4k5,Mac,Facebook
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,447856124,2015-08-18,1,"Yes, I'd like to attend!",PayPal Completed,Female,M5R1S6,Windows,From a Friend
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,448069160,2015-08-18,1,"Yes, I'd like to attend!",PayPal Completed,Female,M5V 3X6,Mac,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,448072300,2015-08-18,1,"Yes, I'd like to attend!",PayPal Completed,Female,M6P2P2,Mac,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,448075723,2015-08-18,1,"Yes, I'd like to attend!",PayPal Completed,Female,M4K1J9,Mac,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,448076411,2015-08-18,1,"Yes, I'd like to attend!",PayPal Completed,Female,L5A2M2,Windows,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,448101881,2015-08-18,1,"Yes, I'd like to attend!",PayPal Completed,Female,L6b1k2,Windows,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,448115512,2015-08-18,1,"Yes, I'd like to attend!",PayPal Completed,Female,M6s3e4,Windows,Twitter
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,448126376,2015-08-18,1,"Yes, I'd like to attend!",PayPal Completed,Female,M6G 1Z8,Mac,Facebook
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,448151861,2015-08-18,1,"Yes, I'd like to mentor!",Free Order,Female,M6R1W9,,Facebook
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,449762820,2015-08-25,1,"Yes, I'd like to mentor!",Free Order,Female,M3C 2L7,,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,449946564,2015-08-25,1,"Yes, I'd like to attend!",PayPal Completed,Male,M5R3C5,Mac,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,449954546,2015-08-26,1,"Yes, I'd like to mentor!",Free Order,Male,L5B2Y7,,Facebook | Twitter
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,450033851,2015-08-26,1,"Yes, I'd like to mentor!",Free Order,Female,M4Y1R5,,From a Friend
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,450223337,2015-08-26,1,"Yes, I'd like to mentor!",Free Order,Male,l5b 4e1,,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,450229297,2015-08-26,1,"Yes, I'd like to attend!",PayPal Completed,Female,M5S 2P9,Mac,From a Friend
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,453720568,2015-09-09,1,"Yes, I'd like to mentor!",Free Order,Female,M2M 3Y1,,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,454222892,2015-09-10,1,"Yes, I'd like to attend!",PayPal Completed,Female,M4X 1C6,Mac,Twitter
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,454239770,2015-09-11,1,"Yes, I'd like to attend!",PayPal Completed,Female,L6X 2R3,Windows,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,454849037,2015-09-13,1,"Yes, I'd like to mentor!",Free Order,Female,M2J 4A6,,Facebook
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,455187322,2015-09-14,1,"Yes, I'd like to mentor!",Free Order,Male,L6H 1M6,,From a Friend
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,454329707,2015-09-11,1,"Yes, I'd like to attend!",PayPal Partially Refunded,Female,M2J 5G6,Windows,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,454234036,2015-09-11,1,"Yes, I'd like to attend!",PayPal Partially Refunded,Female,M8X 2C6,Mac,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,450048456,2015-08-26,1,"Yes, I'd like to attend!",PayPal Completed,Female,M2J1M2,Mac,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,440639633,2015-07-19,1,"Yes, I'd like to mentor!",Free Order,Male,m4w3m3,,From a Friend
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,456956993,2015-09-21,1,"Yes, I'd like to mentor!",Free Order,Male,L1T4V4,,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,443066192,2015-07-29,1,"Yes, I'd like to mentor!",Free Order,Female,M5V 3T5,,From a Friend
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,443071092,2015-07-29,1,"Yes, I'd like to mentor!",Free Order,Male,M4J2Y3,,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,443426176,2015-07-30,1,"Yes, I'd like to attend!",Paid with Cheque,Female,NA,Other,From a Friend
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,443056621,2015-07-29,1,"Yes, I'd like to mentor!",Free Order,Male,M5V 3T1,,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,443067184,2015-07-29,1,"Yes, I'd like to attend!",PayPal Completed,Female,M5V 3T1,Mac,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,448127379,2015-08-18,1,"Yes, I'd like to attend!",PayPal Completed,Female,M4S1A5,Windows,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,445836814,2015-08-10,1,"Yes, I'd like to mentor!",Free Order,Male,M4S1S1,,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,445833605,2015-08-10,1,"Yes, I'd like to mentor!",Free Order,Male,M6K2Z1,,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,454222027,2015-09-10,1,"Yes, I'd like to attend!",PayPal Completed,Female,M5G2R2,Mac,From a Friend
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,448489667,2015-08-19,1,"Yes, I'd like to attend!",PayPal Completed,Female,L4E 2S7,Windows,From a Friend
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,448489282,2015-08-19,1,"Yes, I'd like to attend!",PayPal Completed,Female,L6C3C4,Mac,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,445324326,2015-08-07,1,"Yes, I'd like to mentor!",Free Order,Male,M4Y 1M9,,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,448478921,2015-08-19,1,"Yes, I'd like to attend!",PayPal Completed,Female,M4K 1M1,Windows,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,448354346,2015-08-19,1,"Yes, I'd like to attend!",PayPal Completed,Female,m6k 3l9,Mac,From a Friend
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,454308785,2015-09-11,1,"Yes, I'd like to attend!",PayPal Completed,Female,L5L 2Z6,Mac,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,448325134,2015-08-19,1,"Yes, I'd like to attend!",PayPal Completed,Female,M4S 2H2,Windows,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,447319758,2015-08-15,1,"Yes, I'd like to attend!",PayPal Completed,Female,M1S2H3,Mac,From a Friend
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,446661084,2015-08-13,1,"Yes, I'd like to attend!",PayPal Completed,Female,M5b 2h9,Windows,From a Friend
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,445929738,2015-08-10,1,"Yes, I'd like to attend!",PayPal Completed,Female,ON M5S,Windows,From a Friend
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,446990620,2015-08-14,1,"Yes, I'd like to attend!",PayPal Completed,Female,M5A 3A1,Mac,Twitter
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,445560994,2015-08-08,1,"Yes, I'd like to mentor!",Free Order,Male,M4Y1A5,,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,458478305,2015-09-25,1,"Yes, I'd like to attend!",PayPal Completed,Female,M4K 2P9,Windows,Other
Toronto: Data Insights with Python for Beginners on September 26th,17610508505,447295293,2015-08-15,1,"Yes, I'd like to attend!",PayPal Completed,Female,M5E 1Z9,Windows,Other
