Thursday,January,1,-3.9
Friday,January,2,-2.3
Saturday,January,3,-0.4
Sunday,January,4,0.2
Monday,January,5,-8.6
Tuesday,January,6,-9.9
Wednesday,January,7,-13.0
Thursday,January,8,-11.3
Friday,January,9,-8.7
Saturday,January,10,-11.8
Sunday,January,11,-4.3
Monday,January,12,-7.6
Tuesday,January,13,-15.0
Wednesday,January,14,-7.6
Thursday,January,15,-6.5
Friday,January,16,-6.1
Sunday,January,18,3.1
Monday,January,19,-3.3
Tuesday,January,20,-8.3
Wednesday,January,21,-6.6
Thursday,January,22,-3.3
Friday,January,23,-1.2
Saturday,January,24,-1.5
Sunday,January,25,-6.6
Monday,January,26,-10.2
Tuesday,January,27,-7.9
Wednesday,January,28,-6.3
Thursday,January,29,-1.4
Friday,January,30,-7.3
Saturday,January,31,-7.9
Sunday,February,1,-7.8
Monday,February,2,-12.7
Tuesday,February,3,-9.2
Wednesday,February,4,-4.3
Thursday,February,5,-10.8
Friday,February,6,-7.4
Saturday,February,7,-4.6
Sunday,February,8,-9.6
Monday,February,9,-10.8
Tuesday,February,10,-6.5
Wednesday,February,11,-3.3
Thursday,February,12,-9.7
Friday,February,13,-14.6
Saturday,February,14,-12.7
Sunday,February,15,-22.2
Monday,February,16,-17.5
Tuesday,February,17,-10.4
Wednesday,February,18,-10.2
Thursday,February,19,-16.9
Friday,February,20,-16.3
Saturday,February,21,-8.9
Sunday,February,22,-9.1
Monday,February,23,-17.2
Tuesday,February,24,-12.9
Wednesday,February,25,-10.4
Thursday,February,26,-12.4
Friday,February,27,-12.8
Saturday,February,28,-9.5
Sunday,March,1,-5.6
Monday,March,2,-4.7
Tuesday,March,3,-4.2
Wednesday,March,4,-4.3
Thursday,March,5,-11.9
Friday,March,6,-9.9
Saturday,March,7,-3.0
Sunday,March,8,0.1
Monday,March,9,3.0
Tuesday,March,10,2.6
Wednesday,March,11,5.4
Thursday,March,12,1.4
Friday,March,13,2.2
Saturday,March,14,4.3
Sunday,March,15,3.9
Monday,March,16,5.3
Tuesday,March,17,1.5
Wednesday,March,18,-0.9
Thursday,March,19,-2.0
Friday,March,20,3.6
Saturday,March,21,0.7
Sunday,March,22,-5.4
Monday,March,23,-6.7
Tuesday,March,24,-3.4
Wednesday,March,25,2.5
Thursday,March,26,3.4
Friday,March,27,-2.5
Saturday,March,28,-5.3
Sunday,March,29,-0.8
Monday,March,30,4.2
Tuesday,March,31,1.8
Wednesday,April,1,2.4
Thursday,April,2,8.2
Friday,April,3,7.9
Saturday,April,4,3.3
Sunday,April,5,0.6
Monday,April,6,4.7
Tuesday,April,7,4.8
Wednesday,April,8,2.9
Thursday,April,9,6.5
Friday,April,10,11.0
Saturday,April,11,7.6
Sunday,April,12,10.5
Monday,April,13,14.2
